Depmap ID,Expression 22Q1 Public,Cell Line Name,Primary Disease,Lineage,Lineage Subtype
ACH-000001,7.778537141167753,NIHOVCAR3,Ovarian Cancer,Ovary,Ovary Adenocarcinoma
ACH-000002,7.965957397680419,HL60,Leukemia,Blood,AML
ACH-000003,7.395662654908373,CACO2,Colon/Colorectal Cancer,Colorectal,Colorectal Adenocarcinoma
ACH-000004,7.275565834560328,HEL,Leukemia,Blood,AML
ACH-000005,7.43537856747091,HEL9217,Leukemia,Blood,AML
ACH-000006,7.4698859762744645,MONOMAC6,Leukemia,Blood,AML
ACH-000007,6.702380501615526,LS513,Colon/Colorectal Cancer,Colorectal,Colorectal Adenocarcinoma
ACH-000008,7.400537929583728,A101D,Skin Cancer,Skin,Melanoma
ACH-000009,7.352617298958503,C2BBE1,Colon/Colorectal Cancer,Colorectal,Colorectal Adenocarcinoma
ACH-000011,6.320665184122514,253J,Bladder Cancer,Urinary Tract,Bladder Carcinoma
ACH-000012,7.073070419614309,HCC827,Lung Cancer,Lung,NSCLC
ACH-000013,7.27435485560099,ONCODG1,Ovarian Cancer,Ovary,Ovary Adenocarcinoma
ACH-000014,7.033863451866285,HS294T,Skin Cancer,Skin,Melanoma
ACH-000015,7.605034973571437,NCIH1581,Lung Cancer,Lung,NSCLC
ACH-000016,6.229203357886745,SLR21,Kidney Cancer,Kidney,Renal Cell Carcinoma
ACH-000017,8.122258567811999,SKBR3,Breast Cancer,Breast,Breast Carcinoma
ACH-000018,6.904965718684027,T24,Bladder Cancer,Urinary Tract,Bladder Carcinoma
ACH-000019,6.962317654942307,MCF7,Breast Cancer,Breast,Breast Carcinoma
ACH-000020,6.395919659458955,MHHCALL2,Leukemia,Blood,ALL
ACH-000021,7.002702520379825,NCIH1693,Lung Cancer,Lung,NSCLC
ACH-000022,6.180704840195554,PATU8988S,Pancreatic Cancer,Pancreas,Exocrine
ACH-000023,6.862451391325583,PATU8988T,Pancreatic Cancer,Pancreas,Exocrine
ACH-000024,6.296824458649369,OPM2,Myeloma,Plasma Cell,Multiple Myeloma
ACH-000025,6.982651393001387,CH157MN,Brain Cancer,Central Nervous System,Meningioma
ACH-000026,7.1279427491863325,253JBV,Bladder Cancer,Urinary Tract,Bladder Carcinoma
ACH-000027,6.605701738949982,GOS3,Brain Cancer,Central Nervous System,Glioma
ACH-000028,6.7480586391571675,KPL1,Breast Cancer,Breast,Breast Carcinoma
ACH-000029,5.1925887215666435,HCC827GR5,Lung Cancer,Lung,NSCLC
ACH-000030,6.742140985498147,PC14,Lung Cancer,Lung,NSCLC
ACH-000031,5.145677455195635,PANC0213,Pancreatic Cancer,Pancreas,Exocrine
ACH-000032,6.452200049406222,MHHCALL3,Leukemia,Blood,ALL
ACH-000033,6.600061565968598,NCIH1819,Lung Cancer,Lung,NSCLC
ACH-000034,6.3377110921282895,PLB985,Leukemia,Blood,AML
ACH-000035,7.022700704244228,NCIH1650,Lung Cancer,Lung,NSCLC
ACH-000036,5.805808348701468,U343,Brain Cancer,Central Nervous System,Glioma
ACH-000037,6.862823299823681,S117,Sarcoma,Soft Tissue,Thyroid Sarcoma
ACH-000038,6.364747506022288,EHEB,Lymphoma,Lymphocyte,Lymphoma Unspecified
ACH-000039,7.294528854561148,SKNMC,Bone Cancer,Bone,Ewing Sarcoma
ACH-000040,6.608365723163638,U118MG,Brain Cancer,Central Nervous System,Glioma
ACH-000041,6.912649864897205,RDES,Bone Cancer,Bone,Ewing Sarcoma
ACH-000042,6.548282482376232,PANC0203,Pancreatic Cancer,Pancreas,Exocrine
ACH-000043,6.542412837068273,HS895T,Fibroblast,Fibroblast,Fibroblast Skin
ACH-000044,6.269968200633338,MDAMB134VI,Breast Cancer,Breast,Breast Ductal Carcinoma
ACH-000045,7.539236373272556,MV411,Leukemia,Blood,AML
