,V1,V2,V3
TCGA.OR.A5LR.01,ACC(T=79;N=258),Tumor,6.34038908590267
TCGA.OR.A5JX.01,ACC(T=79;N=258),Tumor,7.00904074921361
TCGA.OU.A5PI.01,ACC(T=79;N=258),Tumor,5.83136198488952
TCGA.OR.A5JA.01,ACC(T=79;N=258),Tumor,6.48924733483379
TCGA.OR.A5KY.01,ACC(T=79;N=258),Tumor,6.94367265290605
TCGA.OR.A5L9.01,ACC(T=79;N=258),Tumor,7.36549430501338
TCGA.PK.A5H9.01,ACC(T=79;N=258),Tumor,6.95662536512002
TCGA.OR.A5JK.01,ACC(T=79;N=258),Tumor,7.03722099649563
TCGA.OR.A5LJ.01,ACC(T=79;N=258),Tumor,6.65250041333982
TCGA.OR.A5K9.01,ACC(T=79;N=258),Tumor,6.6644498683216
TCGA.OR.A5LA.01,ACC(T=79;N=258),Tumor,7.504320000899
TCGA.OR.A5JP.01,ACC(T=79;N=258),Tumor,8.31567435273368
TCGA.OR.A5LO.01,ACC(T=79;N=258),Tumor,5.33436090384329
TCGA.P6.A5OG.01,ACC(T=79;N=258),Tumor,7.44541338129214
TCGA.OR.A5J6.01,ACC(T=79;N=258),Tumor,6.69604130687148
TCGA.OR.A5LT.01,ACC(T=79;N=258),Tumor,7.24532681228354
TCGA.OR.A5JY.01,ACC(T=79;N=258),Tumor,7.19387868937133
TCGA.OR.A5JV.01,ACC(T=79;N=258),Tumor,6.29844969671096
TCGA.OR.A5JT.01,ACC(T=79;N=258),Tumor,7.16571987691074
TCGA.OR.A5KX.01,ACC(T=79;N=258),Tumor,6.81116640250612
TCGA.OR.A5K3.01,ACC(T=79;N=258),Tumor,7.93953744830437
TCGA.OR.A5JZ.01,ACC(T=79;N=258),Tumor,6.17692203230123
TCGA.OR.A5LC.01,ACC(T=79;N=258),Tumor,8.11529184593195
TCGA.OR.A5LH.01,ACC(T=79;N=258),Tumor,7.2869311199059
TCGA.OR.A5LM.01,ACC(T=79;N=258),Tumor,6.50410095152398
TCGA.OR.A5J5.01,ACC(T=79;N=258),Tumor,7.11962840188918
TCGA.P6.A5OF.01,ACC(T=79;N=258),Tumor,6.04282571276667
TCGA.OR.A5LD.01,ACC(T=79;N=258),Tumor,7.82959024519592
TCGA.OR.A5L3.01,ACC(T=79;N=258),Tumor,8.07392603015552
TCGA.OR.A5LK.01,ACC(T=79;N=258),Tumor,6.38811340365408
TCGA.OR.A5LG.01,ACC(T=79;N=258),Tumor,6.55630104803474
TCGA.OR.A5KO.01,ACC(T=79;N=258),Tumor,5.8577734731232
TCGA.OR.A5JJ.01,ACC(T=79;N=258),Tumor,7.16934101162504
TCGA.OR.A5JL.01,ACC(T=79;N=258),Tumor,6.77947670963701
TCGA.OR.A5KV.01,ACC(T=79;N=258),Tumor,7.7745127190259
TCGA.OR.A5JE.01,ACC(T=79;N=258),Tumor,8.00101019922861
TCGA.PK.A5HB.01,ACC(T=79;N=258),Tumor,5.8827624807388
TCGA.OR.A5JM.01,ACC(T=79;N=258),Tumor,7.6809238207247
TCGA.OR.A5JD.01,ACC(T=79;N=258),Tumor,8.58815266733968
TCGA.OR.A5LN.01,ACC(T=79;N=258),Tumor,7.56912168637054
TCGA.OR.A5K6.01,ACC(T=79;N=258),Tumor,7.2387066958205
TCGA.OR.A5JR.01,ACC(T=79;N=258),Tumor,6.63444738897324
TCGA.OR.A5L6.01,ACC(T=79;N=258),Tumor,7.44569874285292
