sample	samples	ENSG00000262814.6	_primary_site
GTEX-XAJ8-0008-SM-46MU7	GTEX-XAJ8-0008-SM-46MU7	7.563	Skin
GTEX-Y5LM-0826-SM-4VDSW	GTEX-Y5LM-0826-SM-4VDSW	7.468	Adipose Tissue
GTEX-WZTO-1326-SM-3NM8X	GTEX-WZTO-1326-SM-3NM8X	7.428	Heart
GTEX-1399S-1426-SM-5PNYQ	GTEX-1399S-1426-SM-5PNYQ	7.371	Adipose Tissue
GTEX-132NY-1726-SM-5EGKK	GTEX-132NY-1726-SM-5EGKK	7.357	Heart
GTEX-1399R-2226-SM-5P9JB	GTEX-1399R-2226-SM-5P9JB	7.338	Colon
GTEX-S4Q7-0126-SM-4AD5P	GTEX-S4Q7-0126-SM-4AD5P	7.283	Spleen
GTEX-11ZUS-0226-SM-5FQT8	GTEX-11ZUS-0226-SM-5FQT8	7.274	Heart
GTEX-YF7O-0004-SM-4W1ZT	GTEX-YF7O-0004-SM-4W1ZT	7.243	Blood
GTEX-T5JC-0626-SM-3NMA6	GTEX-T5JC-0626-SM-3NMA6	7.231	Muscle
GTEX-OXRL-0326-SM-4MVNY	GTEX-OXRL-0326-SM-4MVNY	7.199	Heart
GTEX-12WSC-1126-SM-5EQ4G	GTEX-12WSC-1126-SM-5EQ4G	7.181	Heart
GTEX-X15G-0426-SM-4PQZ6	GTEX-X15G-0426-SM-4PQZ6	7.173	Heart
GTEX-WFG7-0001-SM-3P61S	GTEX-WFG7-0001-SM-3P61S	7.124	Blood
GTEX-Y3IK-1826-SM-4WWDS	GTEX-Y3IK-1826-SM-4WWDS	7.123	Colon
GTEX-W5WG-0002-SM-3NMDN	GTEX-W5WG-0002-SM-3NMDN	7.102	Blood
GTEX-XV7Q-0826-SM-4BRV7	GTEX-XV7Q-0826-SM-4BRV7	7.1	Heart
GTEX-14BIM-2726-SM-5Q5EG	GTEX-14BIM-2726-SM-5Q5EG	7.099	Heart
GTEX-POYW-0526-SM-5KM2H	GTEX-POYW-0526-SM-5KM2H	7.067	Muscle
GTEX-VUSH-0004-SM-3P61T	GTEX-VUSH-0004-SM-3P61T	7.053	Blood
GTEX-OXRL-0326-SM-447BG	GTEX-OXRL-0326-SM-447BG	7.05	Heart
GTEX-1122O-0926-SM-5N9C9	GTEX-1122O-0926-SM-5N9C9	7.049	Adipose Tissue
GTEX-11TT1-2326-SM-5GU6N	GTEX-11TT1-2326-SM-5GU6N	7.047	Muscle
GTEX-WHSE-0926-SM-3NMBS	GTEX-WHSE-0926-SM-3NMBS	7.045	Heart
GTEX-PX3G-0008-SM-48U2L	GTEX-PX3G-0008-SM-48U2L	7.037	Skin
GTEX-13SLX-1226-SM-5S2Q6	GTEX-13SLX-1226-SM-5S2Q6	7.032	Liver
GTEX-NPJ8-0426-SM-2HMK6	GTEX-NPJ8-0426-SM-2HMK6	7.019	Heart
GTEX-13NYB-1026-SM-5IFH3	GTEX-13NYB-1026-SM-5IFH3	7.018	Liver
GTEX-XQ3S-1126-SM-4BOPK	GTEX-XQ3S-1126-SM-4BOPK	7.009	Esophagus
GTEX-R55E-1026-SM-2TC5S	GTEX-R55E-1026-SM-2TC5S	7.009	Heart
GTEX-1497J-0726-SM-5Q5D1	GTEX-1497J-0726-SM-5Q5D1	7.005	Liver
GTEX-WYJK-1026-SM-3NM8W	GTEX-WYJK-1026-SM-3NM8W	6.993	Heart
GTEX-146FH-1126-SM-5NQAT	GTEX-146FH-1126-SM-5NQAT	6.99	Heart
GTEX-132NY-1426-SM-5J1MJ	GTEX-132NY-1426-SM-5J1MJ	6.982	Heart
GTEX-11H98-0326-SM-5HL4S	GTEX-11H98-0326-SM-5HL4S	6.982	Muscle
GTEX-13N11-0926-SM-5IJG2	GTEX-13N11-0926-SM-5IJG2	6.98	Liver
GTEX-QEG4-0426-SM-5S2VQ	GTEX-QEG4-0426-SM-5S2VQ	6.975	Heart
GTEX-O5YV-1126-SM-3LK73	GTEX-O5YV-1126-SM-3LK73	6.969	Adrenal Gland
GTEX-13112-0426-SM-5PNVC	GTEX-13112-0426-SM-5PNVC	6.953	Heart
GTEX-ZYVF-1626-SM-5N9EH	GTEX-ZYVF-1626-SM-5N9EH	6.951	Adrenal Gland
GTEX-13W3W-2626-SM-5SIA2	GTEX-13W3W-2626-SM-5SIA2	6.948	Muscle
GTEX-XBEC-1226-SM-4AT65	GTEX-XBEC-1226-SM-4AT65	6.944	Heart
GTEX-WY7C-2726-SM-3NB3P	GTEX-WY7C-2726-SM-3NB3P	6.936	Breast
GTEX-ZXES-0004-SM-57WCW	GTEX-ZXES-0004-SM-57WCW	6.934	Blood
GTEX-1269C-0003-SM-5S2PB	GTEX-1269C-0003-SM-5S2PB	6.929	Blood
GTEX-ZDTS-1226-SM-4WKGL	GTEX-ZDTS-1226-SM-4WKGL	6.929	Heart
GTEX-WY7C-2526-SM-3NB2N	GTEX-WY7C-2526-SM-3NB2N	6.925	Muscle
GTEX-T5JW-1126-SM-4DM5V	GTEX-T5JW-1126-SM-4DM5V	6.923	Colon
GTEX-12ZZW-1726-SM-5DUVD	GTEX-12ZZW-1726-SM-5DUVD	6.923	Esophagus
GTEX-XV7Q-2126-SM-4BRVX	GTEX-XV7Q-2126-SM-4BRVX	6.922	Colon
GTEX-14A5I-2126-SM-5NQA8	GTEX-14A5I-2126-SM-5NQA8	6.917	Adrenal Gland
GTEX-11OC5-0004-SM-5S2O6	GTEX-11OC5-0004-SM-5S2O6	6.916	Blood
GTEX-QEG5-0926-SM-2TC64	GTEX-QEG5-0926-SM-2TC64	6.912	Heart
GTEX-ZDTS-1326-SM-4WKGX	GTEX-ZDTS-1326-SM-4WKGX	6.903	Heart
GTEX-WXYG-2526-SM-3NB3F	GTEX-WXYG-2526-SM-3NB3F	6.901	Muscle
K-562-SM-48FEU	K-562-SM-48FEU	6.894	Bone Marrow
GTEX-R55G-2326-SM-2TC61	GTEX-R55G-2326-SM-2TC61	6.891	Muscle
GTEX-11TT1-1926-SM-5PNYN	GTEX-11TT1-1926-SM-5PNYN	6.891	Adipose Tissue
GTEX-ZYFC-1026-SM-5GZX9	GTEX-ZYFC-1026-SM-5GZX9	6.89	Heart
GTEX-13NZ9-1326-SM-5MR3V	GTEX-13NZ9-1326-SM-5MR3V	6.881	Liver
GTEX-XUJ4-2026-SM-4BOOW	GTEX-XUJ4-2026-SM-4BOOW	6.88	Colon
GTEX-ZPCL-0004-SM-4WWD6	GTEX-ZPCL-0004-SM-4WWD6	6.879	Blood
GTEX-11I78-1626-SM-5A5M2	GTEX-11I78-1626-SM-5A5M2	6.86	Esophagus
GTEX-ZEX8-1926-SM-4WKFR	GTEX-ZEX8-1926-SM-4WKFR	6.858	Colon
GTEX-ZPIC-0826-SM-4WWFJ	GTEX-ZPIC-0826-SM-4WWFJ	6.853	Heart
GTEX-XV7Q-2926-SM-4BRUL	GTEX-XV7Q-2926-SM-4BRUL	6.851	Muscle
GTEX-XBEW-1026-SM-4QARV	GTEX-XBEW-1026-SM-4QARV	6.849	Muscle
GTEX-ZVZP-0004-SM-51MS8	GTEX-ZVZP-0004-SM-51MS8	6.848	Blood
GTEX-11TT1-2126-SM-5GU5Y	GTEX-11TT1-2126-SM-5GU5Y	6.842	Breast
GTEX-146FH-1026-SM-5RQIF	GTEX-146FH-1026-SM-5RQIF	6.838	Heart
GTEX-YF7O-0008-SM-4W1ZS	GTEX-YF7O-0008-SM-4W1ZS	6.836	Skin
GTEX-WL46-0926-SM-3LK7T	GTEX-WL46-0926-SM-3LK7T	6.835	Heart
