gene name,description,gene id,protein id,GO general category
RPS11,ribosomal protein S11 [Source:HGNC Symbol;Acc:10384],ENSG00000142534,ENSP00000470447,"GO:0003735,GO:0005622,GO:0022627,GO:0005840,GO:0006412,GO:0019843,GO:0005829,GO:0016032,GO:0010467,GO:0016070,GO:0016071,GO:0044267,GO:0006614,GO:0006414,GO:0019058,GO:0006413,GO:0000184,GO:0006415,GO:0019083"
ERAL1,Era G-protein-like 1 (E. coli) [Source:HGNC Symbol;Acc:3424],ENSG00000132591,ENSP00000254928,"GO:0003723,GO:0005525,GO:0003924,GO:0015093,GO:0016021,GO:0005622,GO:0007264,GO:0015684,GO:0019843,GO:0043024,GO:0005759,GO:0005743,GO:0000028"
DDX27,DEAD (Asp-Glu-Ala-Asp) box polypeptide 27 [Source:HGNC Symbol;Acc:15837],ENSG00000124228,ENSP00000360828,"GO:0005524,GO:0003676,GO:0008026,GO:0004386,GO:0005634"
DEK,DEK oncogene [Source:HGNC Symbol;Acc:2768],ENSG00000124795,ENSP00000380414,"GO:0003676,GO:2001032,GO:0003677,GO:0042393,GO:0005634,GO:0006366,GO:0007165,GO:0006357,GO:0016568,GO:0019079,GO:2000779"
PSMA6,"proteasome (prosome, macropain) subunit, alpha type, 6 [Source:HGNC Symbol;Acc:9535]",ENSG00000100902,ENSP00000261479,"GO:0004298,GO:0005839,GO:0051603,GO:0004175,GO:0005634,GO:0005737,GO:0019773,GO:0006511,GO:0003723,GO:0005739,GO:0000932,GO:0016363,GO:0030017,GO:0005515,GO:0051059,GO:0035639,GO:0030016,GO:0005829,GO:0005654,GO:0005844,GO:0006915,GO:0042981,GO:0043066,GO:0044281,GO:0000209,GO:0002474,GO:0000278,GO:0016032,GO:0002479,GO:0006521,GO:0006977,GO:0010467,GO:0016070,GO:0016071,GO:0031145,GO:0034641,GO:0042590,GO:0051437,GO:0051439,GO:0051092,GO:0050727,GO:0000082,GO:0051436"
TRIM56,tripartite motif containing 56 [Source:HGNC Symbol;Acc:19028],ENSG00000169871,ENSP00000305161,"GO:0005515,GO:0008270,GO:0046872,GO:0005622,GO:0004842,GO:0005737,GO:0005829,GO:0051607,GO:0070534,GO:0032608,GO:0034340,GO:0045087,GO:0032481,GO:0032479"
TRIM71,"TRIM71 tripartite motif containing 71, E3 ubiquitin protein ligase [ Homo sapiens (human) ]",ENSG00000206557,ENSP00000373272,"GO:0004842,GO:0035198,GO:0005515,GO:0008270,GO:0000932,GO:0005622,GO:0000082,GO:0021915,GO:0051865,GO:0071310,GO:0060964,GO:0008543,GO:0010586,GO:0051246,GO:0072089,GO:2000177,GO:0035278,GO:2000637,GO:0001843"
UPF2,UPF2 regulator of nonsense transcripts homolog (yeast) [Source:HGNC Symbol;Acc:17854],ENSG00000151461,ENSP00000348708,"GO:0005488,GO:0003723,GO:0005515,GO:0005634,GO:0005737,GO:0005829,GO:0048471,GO:0035145,GO:0010467,GO:0016070,GO:0016071,GO:0001889,GO:0031100,GO:0006406,GO:0000184"
FARS2,"phenylalanyl-tRNA synthetase 2, mitochondrial [Source:HGNC Symbol;Acc:21062]",ENSG00000145982,ENSP00000316335,"GO:0005524,GO:0000049,GO:0004812,GO:0005737,GO:0043039,GO:0000166,GO:0000287,GO:0004826,GO:0005739,GO:0005759,GO:0010467,GO:0008033,GO:0006418,GO:0006432"
FDXACB1,ferredoxin-fold anticodon binding domain containing 1 [Source:HGNC Symbol;Acc:25110],ENSG00000262028,ENSP00000460095,"GO:0005524,GO:0000287,GO:0000049,GO:0004826,GO:0008033,GO:0006432"
ALKBH8,"alkB, alkylation repair homolog 8 (E. coli) [Source:HGNC Symbol;Acc:25189]",ENSG00000137760,ENSP00000415885,"GO:0000166,GO:0003676,GO:0016706,GO:0008168,GO:0055114,GO:0003723,GO:0005515,GO:0016491,GO:0046872,GO:0016300,GO:0005634,GO:0005737,GO:0005829,GO:0015630,GO:0006974,GO:0008152,GO:0030488"
ZNF579,zinc finger protein 579 [Source:HGNC Symbol;Acc:26646],ENSG00000218891,ENSP00000320188,"GO:0046872,GO:0003677,GO:0005634,GO:0006351,GO:0006355"
POLR2B,"polymerase (RNA) II (DNA directed) polypeptide B, 140kDa [Source:HGNC Symbol;Acc:9188]",ENSG00000047315,ENSP00000391452,"GO:0005515,GO:0046872,GO:0003677,GO:0003682,GO:0001055,GO:0003899,GO:0032549,GO:0005634,GO:0005654,GO:0005665,GO:0006351,GO:0006366,GO:0006289,GO:0006281,GO:0016032,GO:0010467,GO:0008380,GO:0000398,GO:0006367,GO:0006368,GO:0006370,GO:0006283,GO:0050434"
WDR12,WD repeat domain 12 [Source:HGNC Symbol;Acc:14098],ENSG00000138442,ENSP00000261015,"GO:0005515,GO:0043021,GO:0005634,GO:0005730,GO:0005654,GO:0030687,GO:0070545,GO:0008283,GO:0007219,GO:0000463,GO:0000466,GO:0042273"
RPF1,ribosome production factor 1 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:30350],ENSG00000117133,ENSP00000359688,"GO:0003723,GO:0019843,GO:0005730,GO:0006364"
MRPS34,mitochondrial ribosomal protein S34 [Source:HGNC Symbol;Acc:16618],ENSG00000074071,ENSP00000380531,"GO:0005739,GO:0005840"
UBTF,"upstream binding transcription factor, RNA polymerase I [Source:HGNC Symbol;Acc:12511]",ENSG00000108312,ENSP00000302640,"GO:0005634,GO:0005737,GO:0007566,GO:0010468,GO:0001832,GO:0005488,GO:0005515,GO:0003677,GO:0005730,GO:0005654,GO:0010467,GO:0006360,GO:0006361,GO:0006362,GO:0006363,GO:0045943,GO:0006356,GO:0000183"
CDC5L,cell division cycle 5-like [Source:HGNC Symbol;Acc:1743],ENSG00000096401,ENSP00000360532,"GO:0019904,GO:0003723,GO:0005515,GO:0003677,GO:0003682,GO:0071987,GO:0016607,GO:0005634,GO:0005737,GO:0005730,GO:0071013,GO:0000974,GO:0000398,GO:0008380,GO:0006351,GO:0006355,GO:0007049"
DAZAP1,DAZ associated protein 1 [Source:HGNC Symbol;Acc:2683],ENSG00000071626,ENSP00000233078,"GO:0000166,GO:0003676,GO:0003723,GO:0035613,GO:0005737,GO:0005634,GO:0008283,GO:0030154,GO:0007283,GO:0001893"
MSI1,musashi RNA-binding protein 1 [Source:HGNC Symbol;Acc:7330],ENSG00000135097,ENSP00000257552,"GO:0003676,GO:0003727,GO:0000166,GO:0003723,GO:0008266,GO:0005634,GO:0005737,GO:0005844,GO:0030855,GO:0007399,GO:0009725"
MSI2,musashi RNA-binding protein 2 [Source:HGNC Symbol;Acc:18585],ENSG00000153944,ENSP00000414671,"GO:0000166,GO:0003676,GO:0008266,GO:0005737,GO:0005844,GO:0048864,GO:0003727"
